Date,Open,High,Low,Close,Adj Close,Volume
2024-12-30,19460.41,19622.93,19342.51,19486.79,19486.79,8384090000
2024-12-27,19896.77,19904.77,19553.40,19722.03,19722.03,7765120000
2024-12-26,19979.25,20070.08,19888.11,20020.36,20020.36,6467910000
2024-12-24,19818.48,20031.13,19813.76,20031.13,20031.13,4739190000
2024-12-23,19641.05,19772.10,19504.68,19764.88,19764.88,6820720000
2024-12-20,19190.04,19758.61,19168.38,19572.60,19572.60,10962450000
2024-12-19,19565.66,19623.02,19357.76,19372.77,19372.77,8029590000
2024-12-18,20114.98,20179.77,19336.59,19392.69,19392.69,9996120000
2024-12-17,20095.62,20148.83,20004.73,20109.06,20109.06,9534350000
2024-12-16,20016.12,20204.58,19988.12,20173.89,20173.89,8855040000
2024-12-13,19995.18,20061.65,19817.47,19926.72,19926.72,6028250000
2024-12-12,19947.34,20018.24,19897.38,19902.84,19902.84,7047550000
2024-12-11,19832.96,20055.93,19830.64,20034.89,20034.89,6639720000
2024-12-10,19796.39,19887.08,19641.34,19687.24,19687.24,6843850000
2024-12-09,19824.09,19872.79,19698.05,19736.69,19736.69,7884620000
2024-12-06,19743.96,19863.15,19734.42,19859.77,19859.77,6787610000
2024-12-05,19756.40,19790.03,19688.59,19700.26,19700.26,7229510000
2024-12-04,19587.48,19741.76,19575.40,19735.12,19735.12,7870030000
2024-12-03,19364.34,19486.15,19340.41,19480.91,19480.91,6005160000
2024-12-02,19255.43,19436.92,19255.43,19403.95,19403.95,6370530000
